key,lig,model,E,rmsd_lb,rmsd_ub,pvr_effic,pvr_n_contacts,torsdof,adph_fraction,adph_atoms_fraction,fdla_fraction,fdla_atoms_fraction
h11_gb10_m6,gb10,6,-5.5,12.481,16.155,-0.2391,12,15,0.0,0.0,0.35,0.13636363636363635
h11_gb10_m7,gb10,7,-5.5,12.502,16.263,-0.2391,12,15,0.0,0.0,0.3,0.12121212121212122
h11_gb10_m8,gb10,8,-5.4,3.754,6.432,-0.2348,20,15,0.34782608695652173,0.10344827586206896,0.05,0.030303030303030304
h11_gb10_m9,gb10,9,-5.4,2.405,2.745,-0.2348,14,15,0.30434782608695654,0.11494252873563218,0.1,0.030303030303030304
h11_gb8y_m8,gb8y,8,-5.2,2.186,3.902,-0.2476,14,14,0.34782608695652173,0.09195402298850575,0.05,0.015151515151515152
h11_gb8y_m9,gb8y,9,-5.1,13.326,16.563,-0.2429,13,14,0.0,0.0,0.3,0.12121212121212122
h11_gb8y_m2,gb8y,2,-5.4,3.089,9.051,-0.2571,19,14,0.30434782608695654,0.12643678160919541,0.15,0.07575757575757576
h11_gb8y_m3,gb8y,3,-5.4,7.202,11.331,-0.2571,7,14,0.21739130434782608,0.05747126436781609,0.0,0.0
h11_gb3_m2,gb3,2,-5.4,0.818,1.401,-0.36,9,8,0.21739130434782608,0.05747126436781609,0.0,0.0
h11_ga8_m2,ga8,2,-5.2,7.881,10.46,-0.2476,12,13,0.21739130434782608,0.09195402298850575,0.1,0.015151515151515152
h11_gb8y_m7,gb8y,7,-5.2,3.426,7.81,-0.2476,15,14,0.391304347826087,0.09195402298850575,0.1,0.015151515151515152
h11_gb8y_m4,gb8y,4,-5.3,2.547,4.537,-0.2524,15,14,0.391304347826087,0.10344827586206896,0.0,0.0
h11_gb8y_m5,gb8y,5,-5.3,2.426,3.341,-0.2524,8,14,0.2608695652173913,0.05747126436781609,0.05,0.015151515151515152
h11_aa8_m5,aa8,5,-5.5,16.262,19.822,-0.2619,10,13,0.0,0.0,0.25,0.06060606060606061
h11_aa8_m4,aa8,4,-5.6,6.106,9.201,-0.2667,9,13,0.21739130434782608,0.05747126436781609,0.05,0.015151515151515152
h11_aa8_m7,aa8,7,-5.3,6.039,8.563,-0.2524,11,13,0.2608695652173913,0.04597701149425287,0.1,0.0
h11_aa8_m6,aa8,6,-5.4,14.982,16.69,-0.2571,14,13,0.0,0.0,0.0,0.0
h11_aa8_m1,aa8,1,-6.0,0.0,0.0,-0.2857,18,13,0.391304347826087,0.06896551724137931,0.05,0.015151515151515152
h11_aa8_m3,aa8,3,-5.7,2.453,3.951,-0.2714,14,13,0.2608695652173913,0.11494252873563218,0.0,0.0
h11_aa8_m2,aa8,2,-5.8,5.511,8.513,-0.2762,11,13,0.30434782608695654,0.08045977011494253,0.0,0.0
h11_aa8_m9,aa8,9,-5.3,3.163,5.143,-0.2524,13,13,0.34782608695652173,0.08045977011494253,0.0,0.0
h11_aa8_m8,aa8,8,-5.3,22.783,23.832,-0.2524,9,13,0.0,0.0,0.0,0.0
